Player,Year,WorldCup,WC_top_4,Continent Trophy,ChampionsLeague,AVG goals,GoalsRank,AVG assists,AssistRank,Trophies,FinalGoals,Derby_Goals,team_strength,Position,Value,ValueRank,CleanSheets,BallonDor
Ronaldinho,2005,0,0,0,0,0.3,19,0.53,4,2,0,6,8,A,50,1,0,1
Lampard,2005,0,0,0,0,0.32,12,0.37,1,2,0,9,8,M,35,13,0,0
Gerrard,2005,0,0,0,1,0.3,19,0.13,15,1,1,4,7,M,30,18,0,0
Henry,2005,0,0,0,0,0.71,2,0.4,4,2,0,4,8,A,45,2,0,0
Shevchenko,2005,0,0,0,0,0.43,5,0.2,13,1,0,10,8,A,38,3,0,0
Cannavaro,2006,1,1,0,0,0.08,28,0,100,1,0,0,8,DF,14,28,0.5,1
Henry,2006,0,1,0,0,0.73,2,0.17,13,0,0,7,8,A,50,3,0,0
Ronaldinho,2006,0,0,0,1,0.57,6,0.53,1,4,0,6,9,A,70,1,0,0
Zidane,2006,0,1,0,0,0.23,23,0.28,10,0,1,6,8,M,20,15,0,0
Etoo,2006,0,0,0,1,0.72,1,0.21,10,3,1,7,9,A,36,6,0,0
Kaka,2007,0,0,0,1,0.4,12,0.2,9,1,0,5,9,M,70,2,0,1
Ronaldo,2007,0,0,0,0,0.43,6,0.4,1,2,0,4,9,A,34,10,0,0
Messi,2007,0,0,0,0,0.47,12,0,15,1,0,5,9,A,60,3,0,0
Drogba,2007,0,0,0,0,0.55,1,0.18,10,2,3,8,8,A,38.5,7,0,0
Pirlo,2007,0,0,0,1,0,27,0.2,11,1,0,1,9,M,30,13,0,0
Messi,2008,0,0,0,0,0.4,18,0.4,4,0,0,3,7,A,60,2,0,0
Torres,2008,0,0,1,0,0.71,3,0,15,1,1,9,8,A,40,7,0,0
Xavi,2008,0,0,1,0,0.16,25,0.16,11,1,0,2,8,M,38,8,0,0
Ibrahimovic,2008,0,0,0,0,0.64,12,0.26,10,1,0,3,7,A,45,6,0,0
Ronaldo,2008,0,0,0,1,0.85,1,0.18,10,3,1,9,9,A,60,3,0,1
Ronaldo,2009,0,0,0,0,0.49,7,0.23,10,2,0,7,8,A,70,1,0,0
Xavi,2009,0,0,0,1,0.18,22,0.57,1,3,1,1,9,M,50,3,0,0
Iniesta,2009,0,0,0,1,0.1,28,0.38,6,3,0,2,9,M,50,3,0,0
Etoo,2009,0,0,0,1,0.69,3,0.13,129,3,1,8,9,A,42,11,0,0
Messi,2009,0,0,0,1,0.74,1,0.37,5,3,1,11,9,A,70,1,0,1
Messi,2010,0,0,0,0,0.88,1,0.22,9,3,0,10,9,A,100,1,0,1
Iniesta,2010,1,1,0,0,0.02,100,0.2,12,4,0,1,9,M,65,3,0,0
Xavi,2010,1,1,0,0,0.13,27,0.37,3,4,0,2,9,M,60,4,0,0
Sneijder,2010,0,1,0,1,0.2,27,0.36,6,3,0,7,9,M,45,7,0,0
Forlan,2010,0,1,0,0,0.5,7,0.17,11,1,2,15,7,A,30,12,0,0
Messi,2011,0,0,0,1,0.96,1,0.49,2,3,1,12,10,A,100,1,0,1
Ronaldo,2011,0,0,0,0,1,1,0.33,7,2,1,8,9,A,100,2,0,0
Xavi,2011,0,0,0,1,0.1,29,0.3,10,3,0,2,10,M,45,7,0,0
Iniesta,2011,0,0,0,1,0.18,24,0.3,10,3,1,1,10,M,70,3,0,0
Rooney,2011,0,0,0,0,0.4,18,0.35,11,3,1,5,9,A,55,4,0,0
Messi,2012,0,0,0,0,1.2,1,0.53,2,3,2,10,9,A,120,1,0,1
Ronaldo,2012,0,0,0,0,1,2,0.27,9,1,3,13,9,A,100,2,0,0
Iniesta,2012,0,0,1,0,0.17,29,0.26,12,4,0,4,9,M,70,3,0,0
Xavi,2012,0,0,1,0,0.27,22,0.28,9,4,1,3,9,M,25,17,0,0
Falcao,2012,0,0,0,0,0.7,6,0.11,15,2,2,8,7,A,50,6,0,0
Messi,2013,0,0,0,0,1.2,1,0.34,7,1,0,13,9,A,120,1,0,0
Ribery,2013,0,0,0,1,0.25,24,0.53,3,4,0,0,9,A,42,10,0,0
Ibrahimovic,2013,0,0,0,0,0.76,5,0.37,7,1,0,6,6,A,26,40,0,0
Neymar,2013,0,0,0,0,0.56,22,0.34,16,0,0,0,1,A,50,8,0,0
Ronaldo,2013,0,0,0,0,1,2,0.23,11,1,3,9,9,A,100,2,0,1
Ronaldo,2014,0,0,0,1,1,1,0.36,11,2,2,12,9,A,120,1,0,1
Messi,2014,0,1,0,0,0.89,2,0.3,1,3,0,11,8,A,120,1,0,0
Suarez,2014,0,0,0,0,0.83,4,0.4,8,0,0,8,8,A,52,6,0,0
Ibrahimovic,2014,0,0,0,0,0.89,2,0.36,6,3,0,1,7,A,28,13,0,0
Robben,2014,0,1,0,0,0.46,11,0.37,6,3,0,7,8,A,33,15,0,0
Messi,2015,0,0,0,1,1,2,0.54,1,3,2,11,10,A,120,1,0,1
Ronaldo,2015,0,0,0,0,1.1,1,0.42,4,1,1,13,8,A,120,1,0,0
Neymar,2015,0,0,0,1,0.76,3,0.2,14,3,2,15,10,A,100,2,0,0
Lewandowski,2015,0,0,0,0,0.51,11,0.26,11,1,0,4,7,A,70,6,0,0
Suarez,2015,0,0,0,1,0.58,11,0.53,4,3,1,8,10,A,90,3,0,0
Ronaldo,2016,0,0,1,1,1,2,0.31,8,2,0,4,9,A,110,2,0,1
Messi,2016,0,0,0,0,0.83,5,0.48,3,3,1,10,7,A,120,1,0,0
Neymar,2016,0,0,0,0,0.63,10,0.51,2,3,1,4,7,A,100,3,0,0
griezmann,2016,0,0,0,0,0.59,9,0.12,16,0,1,6,6,A,80,5,0,0
Suarez,2016,0,0,0,0,1.1,1,0.45,3,3,0,7,7,A,90,4,0,0
Ronaldo,2017,0,0,0,1,0.91,6,0.26,11,3,2,13,10,A,110,3,0,1
Messi,2017,0,0,0,0,1,1,0.38,4,2,0,10,7,A,120,2,0,0
Neymar,2017,0,0,0,0,0.45,19,0.57,1,2,0,3,7,A,150,1,0,0
Ramos,2017,0,0,0,1,0.22,30,0,100,3,0,1,10,DF,40,14,0.2,0
Modric,2017,0,0,0,1,0,100,0.1,13,3,0,0,10,M,45,13,0,0
Modric,2018,0,1,0,1,0,60,0.2,15,3,0,0,9,M,25,27,0,1
Ronaldo,2018,0,0,0,1,1,3,0.18,15,3,0,12,9,A,120,4,0,0
griezmann,2018,1,1,0,0,0.59,8,0.3,8,1,1,8,7,A,150,3,0,0
Messi,2018,0,0,0,0,0.83,1,0.37,3,2,0,10,8,A,180,2,0,0
Mbappe,2018,1,1,0,0,0.45,14,0.36,6,4,1,5,8,A,200,1,0,0
Messi,2019,0,0,0,0,1,1,0.44,1,2,1,8,8,A,150,4,0,1
VanDijk,2019,0,0,0,1,0.1,29,0.1,18,2,0,4,9,DF,100,8,0.5,0
Ronaldo,2019,0,0,0,0,0.65,7,0.32,8,2,1,8,7,A,90,10,0,0
Mane,2019,0,0,0,1,0.51,9,0.1,18,2,0,2,9,A,150,4,0,0
Salah,2019,0,0,0,1,0.5,8,0.1,12,2,1,6,9,A,150,4,0,0
Messi,2021,0,0,1,0,0.8,4,0.3,7,2,0,8,7,A,80,8,0,1
Lewandowski,2021,0,0,0,0,1.2,1,0.2,12,4,0,6,9,A,50,14,0,0
Jorginho,2021,0,0,1,1,0.2,26,0,17,2,0,1,7,M,45,15,0,0
Benzema,2021,0,0,0,0,0.65,8,0.2,12,0,0,9,9,A,25,19,0,0
Kante,2021,0,0,0,1,0,100,0,100,2,0,0,7,M,55,15,0,0
Benzema,2022,0,0,0,1,1,2,0.3,8,4,0,13,9,A,35,17,0,1
Mane,2022,0,0,0,0,0.45,11,0.1,18,2,0,10,8,A,70,10,0,0
DeBruyne,2022,0,0,0,0,0.42,15,0.28,8,1,0,7,7,M,85,13,0,0
Lewandowski,2022,0,0,0,0,1,1,0.2,16,3,2,7,8,A,45,16,0,0
Salah,2022,0,0,0,0,0.6,6,0.29,8,2,0,17,8,A,90,12,0,0
Messi,2023,1,1,0,0,0.6,4,0.45,2,3,2,10,7,A,50,14,0,1
Haaland,2023,0,0,0,1,0.84,1,0.1,14,3,0,6,9,A,180,1,0,0
Mbappe,2023,0,1,0,0,1,2,0.23,12,1,3,4,7,A,180,1,0,0
DeBruyne,2023,0,0,0,1,0.2,22,0.63,1,3,0,5,9,M,70,10,0,0
Rodri,2023,0,0,0,1,0.07,29,0.1,14,3,1,3,9,M,110,4,0,0
Rodri,2024,0,0,1,0,0.18,23,0.3,6,4,0,3,7,M,130,5,0,1
Vini,2024,0,0,0,1,0.37,8,0.32,9,3,1,5,8,A,200,1,0,0
Haaland,2024,0,0,0,0,0.84,2,0.15,13,3,0,6,7,A,200,1,0,0
Bellingham,2024,0,0,0,1,0.54,9,0.3,7,3,0,7,8,M,180,2,0,0
Carvajal,2024,0,0,1,1,0.1,26,0.1,14,5,1,3,8,DF,12,26,0,0
Dembele,2025,0,0,0,1,0.66,4,0.3,8,4,0,7,8,A,100,9,0,1
Yamal,2025,0,0,0,0,0.32,15,0.45,2,3,1,8,7,A,200,1,0,0
Vitinha,2025,0,0,0,1,0.1,25,0,19,5,0,1,7,M,110,8,0,0
Raphinha,2025,0,0,0,0,0.6,3,0.45,1,3,2,13,8,A,90,11,0,0
Salah,2025,0,0,0,0,0.65,3,0.44,3,2,0,12,7,A,30,25,0,0